Mode,Line Id,Stop Name,Avg. Delay Seconds
B,57,PAVILLONS MEUDON,158.667140825
B,57,MERCATOR,169.579127459
B,57,MARLY,168.438135087
B,57,MARIE-CHRISTINE,197.410349288
B,57,HOP. MILITAIRE,109.169585253
B,57,GARE DU NORD,156.375301366
B,57,ENTREPOT,159.229707792
B,57,DE BEJAR,166.557258792
B,57,CLAESSENS,159.561714286
B,57,CHEMIN VERT,164.899661017
B,57,BIEBUYCK,168.059954751
B,57,AVANT-PORT,169.810844116
B,57,ANTOON VAN OSS,160.237885463
B,58,YSER,104.209983151
B,58,WTC,140.898813242
B,58,VILVOORDE STATION,107.676928924
B,58,VIER FONTEINEN,149.860252005
B,58,VERBOEKHOVEN,140.089584851
B,58,STEPHENSON,137.571802022
B,58,ROGIER,162.236921026
B,58,RIVE DROITE,156.756168360
B,58,PRINC. ELISABETH,140.247001499
B,58,PONT ALBERT,153.477132806
B,58,PAVILLON,135.656818182
B,58,NICOLAY,99.978545888
B,58,MONNOYER,154.018124507
B,58,MASUI,136.073337751
B,58,HELDENPLEIN,166.412834765
B,58,GLIBERT,135.975872188
B,58,GARE DU NORD,139.657562629
B,58,DOCKS BRUXSEL,159.969844358
B,58,DIEGEMSTRAAT,156.864674868
B,58,DESTOUVELLES,131.890008961
B,58,CHEMIN DE FER,156.387326733
B,58,CERES,154.655128746
B,58,BLOKKEN,152.954965920
B,58,BICOQUE,150.272288262
B,58,AQUIRIS,156.159163987
B,59,WERY,145.923390672
B,59,VERBOEKHOVEN,140.976650564
B,59,VANDENHOVEN,133.463662791
B,59,SCHAERBEEK GARE,138.597281993
B,59,SAINT-VINCENT,135.038824182
B,59,PRINC. ELISABETH,132.104994903
B,59,PICARDIE,134.131970260
B,59,PARC LEOPOLD,140.125171311
B,59,NATATION,146.057942058
B,59,MAELBEEK,150.602677444
B,59,LIVINGSTONE,149.966827920
B,59,LEVURE,152.496383363
B,59,JOURDAN,145.863623146
B,59,HUART-HAMOIR,143.973871734
B,59,HOUWAERT,142.773280684
B,59,HOP. ETT.-IXELLES,98.464566929
B,59,HERMAN,215.110924370
B,59,GUTENBERG,147.785049628
B,59,GEEFS,173.562130178
B,59,FLAGEY,152.102564103
B,59,ETANGS,102.166666667
B,59,ERNEST LAUDE,142.864981173
B,59,EENENS,143.643179025
B,59,COTEAUX,202.985955056
B,59,CHAUMONTEL,132.056055646
B,59,CARLI,133.227995110
B,59,BRAEMT,148.548387097
B,59,BOSSUET,140.710857143
B,59,BORDET STATION,133.987730061
B,59,ANATOLE FRANCE,138.719602978
B,60,WASHINGTON,156.218421800
B,60,VLEURGAT,153.278478964
B,60,VARIA,153.737112252
B,60,VAN EYCK,163.760595131
B,60,UCCLE CALEVOET,151.391264262
B,60,SCHUMAN,146.595969109
B,60,PLACE SAINT-JOB,144.399853265
B,60,PAPENKASTEEL,155.868894602
B,60,OBSERVATOIRE,150.606472668
B,60,MERCURE,153.153681201
B,60,MARIE DEPAGE,183.236620416
B,60,MALIBRAN,155.358747167
B,60,LEPOUTRE,155.371326165
B,60,LANGEVELD,151.116260163
B,60,JOURDAN,146.672413793
B,60,HOUZEAU,152.045765287
B,60,HELLEVELT,152.404031551
B,60,GROELSTVELD,152.547049442
B,60,GEORGES BRUGMANN,154.271674331
B,60,GARE DE SAINT-JOB,155.620177469
B,60,FROISSART,152.407558214
B,60,FLAGEY,155.084294753
B,60,ETANGS,159.540483256
B,60,ENGELAND,156.450282674
B,60,DROSSART,158.721804511
B,60,DE WANSIJN,145.103820419
B,60,CHENAIE,151.464453125
B,60,CAVELL,151.056967147
B,60,BRUNARD,150.329019074
B,60,BLYCKAERTS,154.067277691
B,60,BIARRITZ,155.415065165
B,60,AMBIORIX,152.432621433
B,61,WAPPERS,143.837720488
B,61,STEURS,149.247958258
B,61,SAINT-LOUIS,146.730058366
B,61,RUE TRAVERSIERE,154.219347582
B,61,ROGIER,137.428047663
B,61,MONTGOMERY,126.570258929
B,61,MERODE,143.271549185
B,61,JAMBLINNE DE MEUX,150.934969636
B,61,HOUWAERT,157.241654913
B,61,GARE DU NORD,104.798102094
B,61,FUSS,152.809169279
B,61,DAILLY,150.479595278
B,61,CLAYS,147.889880952
B,61,CHEVALERIE,147.537563131
B,61,CHASSEURS ARDEN.,152.455971049
B,61,BRABANCONNE,150.025884383
B,61,BOTANIQUE,157.707976566
B,61,BOSSUET,41.5
B,63,WATERLOO WILSON,129.689068481
B,63,TREURENBERG,132.546562228
B,63,SAINT-JOSSE,124.568594845
B,63,ROSA PARKS,128.702004454
B,63,PRESSE,128.344578313
B,63,PLASKY,134.171476022
B,63,PAUL LEDUC,139.775149105
B,63,OPTIMISME,137.857769799
B,63,MICHEL-ANGE,128.474236954
B,63,MEISER,132.580378938
B,63,MAX-PLASKY,128.235939158
B,63,MARGUERITE,127.162842339
B,63,MADOU,132.961378266
B,63,LEOPOLD III,131.162815690
B,63,JAMBLINNE DE MEUX,129.490349819
B,63,GUTENBERG,128.252571111
B,63,GUEUX,129.358691368
B,63,GARE CENTRALE,132.274019479
B,63,FRANS COURTENS,140.310030395
B,63,DIABLOTINS,140.868985507
B,63,CIM. DE BRUXELLES,116.079553310
