Stop Name,Mode,Weekend,Line Id,Avg. Delay Seconds
CHIEN VERT,T,1,44,200.097176080
CHIEN VERT,T,1,39,199.709254709
CHIREC,B,0,72,97.685446009
CHIREC,B,0,71,84.216294350
CHIREC,B,1,72,133.505494505
CHIREC,B,1,71,137.688013136
CHOPIN,B,0,87,105.606044815
CHOPIN,B,1,87,222.933920705
CHURCHILL,T,0,7,67.000088913
CHURCHILL,T,0,3,124.190355330
CHURCHILL,T,1,7,154.219566841
CHURCHILL,T,1,3,152.505970809
CICERON,B,0,45,98.676663543
CICERON,B,1,45,176.148235294
CIM. D'IXELLES,B,0,95,82.784240847
CIM. D'IXELLES,B,0,72,107.995145631
CIM. D'IXELLES,B,0,71,80.850114541
CIM. D'IXELLES,B,1,95,145.560916767
CIM. D'IXELLES,B,1,72,184.299019608
CIM. D'IXELLES,B,1,71,130.105786952
CIM. DE BRUXELLES,B,0,80,111.109977324
CIM. DE BRUXELLES,B,0,66,100.309131978
CIM. DE BRUXELLES,B,0,63,97.534191072
CIM. DE BRUXELLES,B,1,80,244.289948454
CIM. DE BRUXELLES,B,1,66,205.098779134
CIM. DE BRUXELLES,B,1,63,171.155794807
CIM. DE JETTE,B,0,88,138.215316024
CIM. DE JETTE,B,1,88,211.019319227
CIM. DE JETTE,T,0,93,76.079613307
CIM. DE JETTE,T,0,51,94.426341316
CIM. DE JETTE,T,0,19,80.058641975
CIM. DE JETTE,T,1,93,198.290684624
CIM. DE JETTE,T,1,51,135.106321839
CIM. DE JETTE,T,1,19,186.810762862
CIM. DE MOLENBEEK,B,0,53,112.685085355
CIM. DE MOLENBEEK,B,0,49,90.228949479
CIM. DE MOLENBEEK,B,1,53,188.979699912
CIM. DE MOLENBEEK,B,1,49,176.017094017
CIM. DE MOLENBEEK,T,0,82,90.192307692
CIM. DE MOLENBEEK,T,1,82,173.621636168
CIMETIERES,B,0,87,105.651343981
CIMETIERES,B,1,87,230.583103765
CLAESSENS,B,0,57,159.561714286
CLAYS,B,0,61,128.359433569
CLAYS,B,1,61,223.158908507
CLEMENCE EVERARD,B,0,74,114.092093441
CLEMENCE EVERARD,B,1,74,202.899165508
CLEMENCEAU,B,0,46,62.400377715
CLEMENCEAU,B,1,46,169.492462312
CLEMENCEAU,M,0,6,136.966203060
CLEMENCEAU,M,0,2,113.090786517
CLEMENCEAU,M,1,6,194.680882353
CLEMENCEAU,M,1,2,141.860215054
CLESSE,B,0,72,106.097447796
CLESSE,B,1,72,140.430379747
CLINIQUES-UCL,B,0,79,129.939552239
CLINIQUES-UCL,B,1,79,228.544757033
CLOVIS,B,0,29,115.837332249
CLOVIS,B,1,29,214.242088608
COCCINELLES,T,0,8,98.813799406
COCCINELLES,T,1,8,178.758888889
COGHEN,B,0,37,162.711970899
COGHEN,B,1,37,230.370869033
COLIGNON,B,0,56,152.727749748
COLIGNON,B,1,56,251.353410740
COLLEGE S.-COEUR,B,0,87,105.464931932
COLLEGE S.-COEUR,B,1,87,223.497652582
COLLEGE S.-COEUR,T,0,19,88.042733724
COLLEGE S.-COEUR,T,1,19,172.307248764
COLLEGE ST-PIERRE,B,0,70,181.676599126
COLLEGE ST-PIERRE,B,0,37,169.546344648
COLLEGE ST-PIERRE,B,1,37,248.257537688
COLOMBOPHILES,B,0,75,146.564479638
COLOMBOPHILES,B,1,75,223.608208955
COLONEL BOURG,B,0,80,107.806768875
COLONEL BOURG,B,0,79,129.793415107
COLONEL BOURG,B,0,21,154.208129584
COLONEL BOURG,B,1,80,235.653846154
COLONEL BOURG,B,1,79,232.829924650
COLONEL BOURG,B,1,21,192.651982379
COMBAZ,T,0,97,97.528709056
COMBAZ,T,1,97,216.491785323
COMHAIRE,B,0,20,109
COMTE DE FLANDRE,B,0,86,165.838527851
COMTE DE FLANDRE,B,1,86,193.604858300
COMTE DE FLANDRE,M,0,5,82.494814106
