Mode,Stop Name,Avg. Delay Seconds
B,DIELEGHEM,149.800331858
B,VIER FONTEINEN,149.860252005
B,ONZE NOVEMBRE,149.909227589
B,BEKA,149.945652174
B,FOREST NATIONAL,149.980946948
B,ROI VAINQUEUR,149.999683544
B,MICHIELS,150.147651007
B,CARLI,150.179745493
B,BICOQUE,150.272288262
B,VIGNETTE,150.288706257
B,BRUNARD,150.329019074
B,PALFIJN,150.710679612
B,HOP.STE-ELISABETH,150.798336377
B,AVENUE DU PORT,151.053985454
B,CAVELL,151.056967147
B,VERGOTE,151.066529621
B,LANGEVELD,151.116260163
B,WILLEBROEK,151.117507088
B,CHENAIE,151.464453125
B,CROSSING,151.711418048
B,HOP. DES ENFANTS,151.775858832
B,DIAMANT,151.812052019
B,DE BEJAR,151.863181672
B,LE ROUX,151.912693961
B,CHAUMONTEL,151.930570315
B,PRINC. ELISABETH,151.959343452
B,CHANT D'OISEAU,151.986482515
B,VERGER,152.058364070
B,CLINIQUES-UCL,152.212593876
B,WATERMAEL GARE,152.258472433
B,KELLE,152.282727489
B,HELLEVELT,152.404031551
B,LEVURE,152.496383363
B,GROELSTVELD,152.547049442
B,DEMINEURS,152.571743929
B,TOUR ET TAXIS,152.599813378
B,CHASSEURS ARDEN.,152.793223382
B,FUSS,152.809169279
B,SABCA,152.810887097
B,RENIERS,152.819526627
B,ZEECRABBE,152.982026511
B,MOUETTES,152.991831605
B,NERVIENS,153.274549098
B,ARBRE BALLON,153.294304371
B,VERBOEKHOVEN,153.390452030
B,DREVE DE NIVELLES,153.475013291
B,PONT ALBERT,153.477132806
B,PRINCE LEOPOLD,153.491717937
B,VERT CHASSEUR,153.589912281
B,DE HEYN,153.597998332
B,MERCATOR,153.623445826
B,SCHAERBEEK GARE,153.627321750
B,VARIA,153.737112252
B,MAREYDE,153.764318992
B,MONNOYER,154.018124507
B,VAL MARIA,154.150229441
B,RUE TRAVERSIERE,154.219347582
B,GEORGES BRUGMANN,154.271674331
B,CIM. DE JETTE,154.365918367
B,BLOKKEN,154.377990431
B,HANNETONS,154.380952381
B,TRITOMAS,154.649468892
B,CERES,154.655128746
B,HEILIGENBORRE,154.689354276
B,STATUAIRES,154.758614778
B,BONAVENTURE,154.798711063
B,GUILL. DE GREEF,154.935978836
B,MONTANA,154.946937439
B,ARCHIDUCS,154.992948287
B,PECHERIES,155.258594918
B,JACOBS FONTAINE,155.301139306
B,LEPOUTRE,155.371326165
B,LUXEMBOURG,155.450986627
B,VICTOR HUGO,155.588018868
B,BELGICA,155.718048557
B,SAINT-DENIS,155.768125914
B,CROCQ,155.866775068
B,PAPENKASTEEL,155.868894602
B,DEBUSSY,156.158723581
B,AQUIRIS,156.159163987
B,WASHINGTON,156.218421800
B,THIEFFRY,156.235190487
B,LOUTRIER,156.384791123
B,CHEMIN DE FER,156.387326733
B,HANSSENSPARK,156.488533704
B,DRIES,156.489843029
B,DELHOVE,156.715472893
B,RIVE DROITE,156.756168360
B,DIEGEMSTRAAT,156.864674868
B,RIBAUCOURT,156.979126928
B,BOULE ET BILL,157.042332434
B,MICHEL-ANGE,157.045694200
