Line Id,Point Id,Day Of Week,Avg. Delay Seconds
3,5705,Monday,114.069597070
3,5705,Sunday,175.625698324
3,5706,Saturday,142.371541502
3,5706,Friday,99.666666667
3,5706,Thursday,82
3,5706,Wednesday,86
3,5706,Tuesday,133.368298368
3,5706,Monday,115.930357143
3,5706,Sunday,189.844282238
3,5707,Saturday,118.264705882
3,5707,Friday,80
3,5707,Thursday,31
3,5707,Wednesday,90.2
3,5707,Tuesday,114.065843621
3,5707,Monday,92.911227154
3,5707,Sunday,172.472
3,5714,Saturday,138.024761905
3,5714,Friday,126.904761905
3,5714,Thursday,271.148148148
3,5714,Wednesday,225.052631579
3,5714,Tuesday,121.313397129
3,5714,Monday,100.899159664
3,5714,Sunday,162.397849462
3,5770,Saturday,155.794594595
3,5770,Friday,76.394453005
3,5770,Thursday,65.615183246
3,5770,Wednesday,63.652509653
3,5770,Tuesday,78.856153436
3,5770,Monday,80.164331897
3,5770,Sunday,168.894009217
3,5771,Saturday,152.807251908
3,5771,Friday,71.755154639
3,5771,Thursday,63.272517321
3,5771,Wednesday,65.080672269
3,5771,Tuesday,81.371964680
3,5771,Monday,83.407364787
3,5771,Sunday,163.674816626
3,5772,Saturday,156.816017316
3,5772,Friday,71.994236311
3,5772,Thursday,63.683291771
3,5772,Wednesday,67.470930233
3,5772,Tuesday,82.571815718
3,5772,Monday,81.837988827
3,5772,Sunday,149.302114804
3,5773,Saturday,151.399532710
3,5773,Friday,71.832258065
3,5773,Thursday,60.255747126
3,5773,Wednesday,64.259079903
3,5773,Tuesday,82.112081514
3,5773,Monday,79.069020867
3,5773,Sunday,153.482142857
3,5776,Saturday,152.556521739
3,5776,Friday,77.238095238
3,5776,Thursday,73.167938931
3,5776,Wednesday,66.156862745
3,5776,Tuesday,81.751515152
3,5776,Monday,89.801242236
3,5776,Sunday,151.694444444
3,5806,Saturday,157.753393665
3,5806,Friday,76.840290381
3,5806,Thursday,67.309597523
3,5806,Wednesday,68.876595745
3,5806,Tuesday,85.973796034
3,5806,Monday,81.978308026
3,5806,Sunday,159.304860088
3,6177,Saturday,145.707105719
3,6177,Friday,114.160680529
3,6177,Thursday,118.434343434
3,6177,Wednesday,114.919298246
3,6177,Tuesday,124.976909414
3,6177,Monday,105.931034483
3,6177,Sunday,162.549056604
3,6178,Saturday,135.271844660
3,6178,Friday,123.5625
3,6178,Thursday,169.393939394
3,6178,Wednesday,112.122448980
3,6178,Tuesday,113.446280992
3,6178,Monday,102.291666667
3,6178,Sunday,172.362459547
3,6179,Saturday,136.526195900
3,6179,Friday,77.556097561
3,6179,Thursday,74.569007264
3,6179,Wednesday,73.538336052
3,6179,Tuesday,96.891041162
3,6179,Monday,91.247311828
3,6179,Sunday,165.600490196
3,6209,Saturday,139.252427184
3,6209,Friday,74.618421053
3,6209,Thursday,83.924302789
3,6209,Wednesday,76.556048835
3,6209,Tuesday,103.201144726
3,6209,Monday,84.109652510
3,6209,Sunday,156.607619048
3,6253,Saturday,122.693931398
3,6253,Friday,134.555555556
3,6253,Tuesday,121.018382353
3,6253,Monday,99.567695962
3,6253,Sunday,158.393220339
3,6422,Saturday,117.052238806
3,6422,Tuesday,120.571428571
3,6422,Monday,103.768707483
3,6422,Sunday,166.252941176
3,6424,Saturday,123.179425837
3,6424,Friday,74.326633166
3,6424,Thursday,94.830508475
3,6424,Wednesday,86.028953229
3,6424,Tuesday,100.186588921
3,6424,Monday,94.958831341
3,6424,Sunday,157.389570552
3,9959,Saturday,106.45
3,9959,Tuesday,150.5
3,9959,Monday,94.5
3,9959,Sunday,82.333333333
3,9986,Saturday,141.487580497
3,9986,Tuesday,122.146586345
3,9986,Monday,128.801330798
3,9986,Sunday,194.956937799
4,501,Saturday,120.373860182
4,501,Friday,89.969072165
4,501,Thursday,95.429752066
4,501,Wednesday,140.065573770
4,501,Tuesday,103.389261745
4,501,Monday,80.926686217
4,501,Sunday,158.628099174
4,506,Saturday,152.685039370
4,506,Friday,75.368965517
4,506,Thursday,86.318537859
4,506,Wednesday,102.116033755
4,506,Tuesday,107.350649351
4,506,Monday,91.690582960
4,506,Sunday,155.847176080
4,511,Saturday,133.970270270
4,511,Friday,86.196428571
4,511,Thursday,109.508771930
4,511,Wednesday,134.689922481
4,511,Tuesday,111.237288136
4,511,Monday,86.976595745
4,511,Sunday,193.034482759
4,516,Saturday,159.493573265
4,516,Friday,77.941176471
4,516,Thursday,81.664688427
4,516,Wednesday,101.521276596
4,516,Tuesday,104.777945619
4,516,Monday,102.389230769
4,516,Sunday,154.637724551
4,526,Saturday,146.504854369
4,526,Friday,79.450450450
4,526,Thursday,85.156862745
4,526,Wednesday,106.216
4,526,Tuesday,100.603351955
4,526,Monday,92.835164835
4,526,Sunday,128.719512195
4,531,Saturday,157.550561798
4,531,Friday,78.729729730
4,531,Thursday,69.235294118
4,531,Wednesday,184.25
4,531,Tuesday,109.982456140
4,531,Monday,95.606557377
4,531,Sunday,145.234042553
4,601,Saturday,128.087209302
4,601,Friday,84.447916667
4,601,Thursday,98.296296296
4,601,Wednesday,134.775862069
4,601,Tuesday,104.904545455
4,601,Monday,96.965909091
4,601,Sunday,151.092783505
4,606,Saturday,150.848571429
4,606,Friday,81.114982578
4,606,Thursday,84.270833333
4,606,Wednesday,92.603248260
4,606,Tuesday,96.959595960
4,606,Monday,91.545454545
4,606,Sunday,155.694352159
4,611,Saturday,128.377682403
4,611,Friday,97.962121212
4,611,Thursday,91.859060403
4,611,Wednesday,120.295454545
4,611,Tuesday,107.213375796
4,611,Monday,95.911227154
4,611,Sunday,152.515527950
4,616,Saturday,148.019444444
4,616,Friday,78.091216216
4,616,Thursday,81.783536585
