Stop Name,Mode,Avg. Delay Seconds
FAIDER,T,136.610928859
FAUCONNERIE,T,114.600997129
FAUCONNERIE,B,95.902753659
FERME NOS PILIFS,B,137.706451281
FERNAND COCQ,B,107.904988789
FERNAND LEGER,B,118.747264622
FETIS,B,114.496990973
FEVRIER,B,133.746024096
FIRMIN LECHARLIER,B,159.028533636
FLAGEY,T,90.050662972
FLAGEY,B,122.206914479
FLORIDE,B,130.846255652
FONSON,T,68.845347313
FONSON,B,127.294131346
FOREST (BERVOETS),B,105.948911652
FOREST CENTRE,T,114.452509294
FOREST CENTRE,B,159.25
FOREST NATIONAL,B,149.980946948
FORESTERIE,B,163.817679558
FORESTOISE,B,166.251507321
FORT-JACO,T,95.176470588
FORT-JACO,B,196.696248856
FORUM,B,176.340459338
FOYER JETTOIS,T,96.785512367
FOYER SCHAERBEEK.,T,80.2334375
FRAITEUR,B,94.112504611
FRANS COURTENS,B,140.310030395
FRANS HALS,T,84.669306008
FRANS HALS,B,162.102982955
FROISSART,B,157.128579235
FRUITS,B,139.634720740
FUSEE,T,177.341603053
FUSS,B,152.809169279
FUTAIE,B,158.098989195
GALLAIT,T,110.533802267
GANSHOREN-SPORT,B,126.202290951
GARDON,B,174.384446075
GARE CENTRALE,M,88.896426956
GARE CENTRALE,B,122.955328701
GARE D'EVERE,B,125.272805880
GARE DE BERCHEM,T,144.207962786
GARE DE BERCHEM,B,143.871600785
GARE DE BOCKSTAEL,B,127.937706271
GARE DE HAREN-SUD,B,120.047483110
GARE DE JETTE,T,101.673081355
GARE DE JETTE,B,158.115561896
GARE DE L'OUEST,T,108.083088432
GARE DE L'OUEST,M,116.414616948
GARE DE L'OUEST,B,137.008757590
GARE DE LINKEBEEK,B,175.006139005
GARE DE SAINT-JOB,T,112.251955537
GARE DE SAINT-JOB,B,167.277182733
GARE DU MIDI,T,109.310487475
GARE DU MIDI,M,129.189304544
GARE DU MIDI,B,143.411308710
GARE DU NORD,T,108.139785704
GARE DU NORD,B,134.683038811
GARE FOREST-EST,B,145.457610113
GATTI DE GAMOND,B,111.179743888
GAULOIS,B,141.683808459
GAZELLE,B,180.318578649
GEEFS,B,173.562130178
GENEVE,B,171.684596577
GENOT,T,104.416644960
GENOT,B,143.159635120
GEO BERNIER,B,94.272685693
GEORGES BRUGMANN,B,154.271674331
GEORGES HENRI,T,96.027580772
GEORGES HENRI,B,146.526134311
GERGEL,B,184.948019802
GERMOIR,T,90.114883047
GERMOIR,B,98.681742354
GERSIS,B,140.198654941
GILLON,T,101.075146389
GILSON,B,173.601762712
GJ MARTIN,T,112.233379724
GLIBERT,B,84.223354368
GLOBE,T,106.438039457
GLOBE,B,183.607996051
GOFFIN,T,102.074364773
GOSSART,T,95.083398590
GOSSART,B,115.890030021
GRAND SABLON,B,125.524696761
GRAND-PLACE,B,127.033052495
GRAND'ROUTE,T,109.555176038
GRIBAUMONT,M,89.685272785
GRIOTTES,B,159.194335938
GROELSTVELD,B,152.547049442
GUEUX,B,146.453848927
GUI,B,185.076453411
GUILL. DE GREEF,T,93.299049541
GUILL. DE GREEF,B,154.935978836
GUILLAUME,B,125.993487271
GUILLAUME TELL,T,91.493108201
GULLEDELLE,B,132.331482661
GUTENBERG,B,128.819026426
HANKAR,M,89.919747353
HANKAR,B,109.468207088
HANNETONS,B,154.380952381
HANSSENSPARK,B,156.488533704
HAREN,B,117.901640847
HEEMBEEK,T,92.690854211
HEEMBEEK,B,130.234700740
HEILIGENBORRE,B,154.689354276
HELDENPLEIN,B,159.895073236
HELIOTROPES,T,92.768529241
HELLEVELT,B,152.404031551
HELMET,T,85.608304795
HERMAN,B,215.110924370
HERMES,B,127.147716895
HERNALSTEEN,B,184.329660239
HEROS,T,109.446735693
HEROS,B,147.384341637
HERRMANN-DEBROUX,T,117.237974362
HERRMANN-DEBROUX,M,100.588605028
HERRMANN-DEBROUX,B,143.155485232
HET VEROOST,B,122.585976268
HEYDENBERG,B,131.645710681
HEYSEL,T,87.810239697
HEYSEL,M,142.580465010
HEYSEL,B,160.859704851
HIPPOD. BOITSFORT,T,114.876345498
HIPPODROME,B,134.874493927
HOEDEMAEKERS,B,130.104547009
HOF TEN BERG,B,92.129317706
HOF TER MUSSCHEN,B,144.547449705
HOMBORCH,B,173.479628306
HOOGBOSCH,B,124.979511143
HOOGVELD,B,373.090909091
HOP. DES ENFANTS,B,151.775858832
HOP. ETT.-IXELLES,B,98.464566929
HOP. MILITAIRE,B,105.714478599
HOP. PAUL BRIEN,T,91.130542230
HOP. SAINT-PIERRE,B,140.839103068
HOP.STE-ELISABETH,B,150.798336377
HOPITAL BRACOPS,B,115.338806530
HOPITAL BRUGMANN,T,98.592761981
HOPITAL BRUGMANN,B,146.303709743
HORTA,T,110.554756073
HOSPICES,B,175.218214075
HOTEL DES MONNAIES,M,127.598712446
HOUBA-BRUGMANN,M,143.552246340
HOUWAERT,B,148.730352304
HOUZEAU,B,160.042618820
HUART-HAMOIR,B,143.973871734
HUIT HEURES,B,164.964876033
HUMANITE,B,78.599609375
HUNDERENVELD,T,115.663621202
HUNDERENVELD,B,126.003053953
HYMANS,B,128.541842061
ICHEC,T,256
ICHEC,B,138.318804665
IDALIE,B,115.824172804
ILE SAINTE-HELENE,B,119.732268041
IMPRIMERIE,T,107.023185674
IMPRIMERIE,B,127.924356775
INTERNAT. SCHOOL,B,172.315091211
INTERNATIONAL,B,142.273125342
INVALIDES,B,141.046272494
JACOBS FONTAINE,T,98.966026588
JACOBS FONTAINE,B,155.301139306
JACQUES BREL,M,90.379066240
JACQUES BREL,B,161.377873295
JAKOB SMITS,B,108.244635193
JAMBLINNE DE MEUX,B,148.447238681
JANSON,T,117.914405229
JARDIN MASSART,B,111.728132388
JEANNE,T,118.151970872
JEANNE,B,89.628984825
JEANNE HERREMAN,T,108.099412172
JEANNE HERREMAN,B,171.557387720
JESPERS,B,122.956537102
